SCORE,DATE,D0,D1,D2,D3,D4,NA_COUNT,W0,W1,W2,W3,W4
0,year_503,0,0,0,0,0,0,100.1,95.8,54,10.1,0
0,year_504,0,0,0,0,0,0,100,95.7,75.1,24.3,0
73.5,year_505,2,0,0,0,0,0,24.5,0,0,0,0
61.8,year_506,38.2,12.8,2.4,0,0,0,0,0,0,0,0
19.4,year_507,80.5,2.3,0,0,0,0,0,0,0,0,0
23,year_508,68,47.8,2.3,0,0,0,9,0,0,0,0
91.6,year_509,2.2,0,0,0,0,0,6.2,0,0,0,0
9.7,year_510,0,0,0,0,0,0,90.3,37.9,0,0,0
98,year_511,0,0,0,0,0,0,2,0,0,0,0
64.4,year_512,35.7,6.7,0,0,0,0,0,0,0,0,0
3.1,year_513,96.9,92.7,68.1,6.7,0,0,0,0,0,0,0
45.9,year_514,49.6,0,0,0,0,0,4.5,0,0,0,0
6.4,year_515,93.6,89.2,54.4,0,0,0,0,0,0,0,0
0,year_516,100,99,96.9,83.8,22.1,0,0,0,0,0,0
0,year_517,100,95.8,89.1,32.5,0,0,0,0,0,0,0
55.9,year_518,44.1,0,0,0,0,0,0,0,0,0,0
85,year_519,15,0,0,0,0,0,0,0,0,0,0
0,year_520,100,98.9,48.2,0,0,0,0,0,0,0,0
96.7,year_521,0,0,0,0,0,0,3.3,0,0,0,0
27.7,year_522,0,0,0,0,0,0,72.3,57.7,24.2,0,0
5.3,year_523,0,0,0,0,0,0,94.6,83.5,72.3,54.5,27.6
32.5,year_524,67.5,0.1,0,0,0,0,0,0,0,0,0
32.5,year_525,40.9,0,0,0,0,0,26.6,5.6,0,0,0
5.5,year_526,94.6,86.7,80.1,71.2,49.8,0,0,0,0,0,0
67.8,year_527,11.9,0,0,0,0,0,20.4,12.6,0,0,0
50.6,year_528,49.4,7.2,0,0,0,0,0,0,0,0,0
65.1,year_529,33.9,22.6,9.3,0,0,0,1,0,0,0,0
0,year_530,0,0,0,0,0,0,100,53.1,0,0,0
80.5,year_531,19.6,3.7,0,0,0,0,0,0,0,0,0
95.9,year_532,0,0,0,0,0,0,4.1,0,0,0,0
50.9,year_533,44.3,0,0,0,0,0,4.8,0,0,0,0
86.5,year_534,0,0,0,0,0,0,13.5,0,0,0,0
0,year_535,100,79,17.3,0.1,0,0,0,0,0,0,0
0,year_536,100,87.2,33.8,0.4,0,0,0,0,0,0,0
41.6,year_537,0,0,0,0,0,0,58.4,0,0,0,0
26.1,year_538,0,0,0,0,0,0,73.9,25,13.6,3.5,0
12.7,year_539,87.2,50.7,0,0,0,0,0,0,0,0,0
93,year_540,7,0,0,0,0,0,0,0,0,0,0
25.2,year_541,0,0,0,0,0,0,74.9,20.1,0,0,0
14.4,year_542,84.5,72.4,53.6,1.1,0,0,1.1,0,0,0,0
4.3,year_543,95.8,91.2,81.4,5.8,0,0,0,0,0,0,0
47.9,year_544,16.9,0,0,0,0,0,35.1,0,0,0,0
94.8,year_545,0,0,0,0,0,0,5.2,0,0,0,0
0,year_546,0,0,0,0,0,0,100,99.7,69.5,18.4,0
15.8,year_547,0.1,0,0,0,0,0,84.2,67.7,46.4,23.1,2.2
0.1,year_548,0,0,0,0,0,0,99.9,83.1,10.5,0,0
0,year_549,0,0,0,0,0,0,100,100,83.2,21.4,0
0,year_550,0,0,0,0,0,0,100.1,33.9,1,0,0
22.4,year_551,3.5,0,0,0,0,0,74.1,36.4,1.1,0,0
29.9,year_552,3.4,0,0,0,0,0,66.7,34.3,0,0,0
72.3,year_553,2.2,0,0,0,0,0,25.5,14.4,2.1,0,0
0,year_554,99.9,99.9,75,37.6,0,0,0,0,0,0,0
11.2,year_555,0,0,0,0,0,0,88.8,41.8,3.4,0,0
28.8,year_556,0,0,0,0,0,0,71.3,43.2,0,0,0
0,year_557,0,0,0,0,0,0,99.9,99.9,57,16.4,4.4
58.9,year_558,0,0,0,0,0,0,41.1,0,0,0,0
61.8,year_559,0,0,0,0,0,0,38.2,0,0,0,0
82.9,year_560,0,0,0,0,0,0,17.1,0,0,0,0
42.6,year_561,53.1,29.8,0,0,0,0,4.4,0,0,0,0
46.5,year_562,3.1,0,0,0,0,0,50.4,3.4,0,0,0
0,year_563,100,100,100,97.8,66.6,0,0,0,0,0,0
32,year_564,67.9,1,0,0,0,0,0.1,0,0,0,0
2.1,year_565,97.9,86.7,54.3,0,0,0,0,0,0,0,0
93.7,year_566,0,0,0,0,0,0,6.3,0,0,0,0
0,year_567,0,0,0,0,0,0,100,83.8,26.3,8.2,0
22.9,year_568,77.1,52.3,2.3,0,0,0,0,0,0,0,0
0,year_569,100,100,100,90.2,11.4,0,0,0,0,0,0
10.6,year_570,89.4,1.6,0,0,0,0,0,0,0,0,0
0,year_571,0,0,0,0,0,0,100,87.2,34.7,0,0
8.6,year_572,0,0,0,0,0,0,91.3,26,4.7,0,0
0,year_573,0,0,0,0,0,0,100,30.1,14.6,0,0
0.1,year_574,0,0,0,0,0,0,100,94.4,62.2,12.2,2.2
0,year_575,0,0,0,0,0,0,99.9,99.9,96.8,84.9,63.7
39,year_576,0.2,0,0,0,0,0,60.8,11,0,0,0
28,year_577,0,0,0,0,0,0,72,14.3,0,0,0
5.2,year_578,94.8,67.1,3.4,0,0,0,0,0,0,0,0
19.1,year_579,80.9,0,0,0,0,0,0,0,0,0,0
4.2,year_580,95.8,28.5,0,0,0,0,0,0,0,0,0
10.2,year_581,0,0,0,0,0,0,89.7,59.2,3,0,0
0,year_582,0,0,0,0,0,0,100,37,21.3,4.8,0
84.9,year_583,0,0,0,0,0,0,15.1,3.1,0,0,0
13.1,year_584,78.9,65.7,11,0,0,0,8,0,0,0,0
97.7,year_585,0.2,0,0,0,0,0,2.1,0,0,0,0
65.1,year_586,0,0,0,0,0,0,35,20.4,13.7,4.9,2.5
0,year_587,0,0,0,0,0,0,100.1,86.3,34,8.1,1.3
0,year_588,100.1,97.9,49.7,0.1,0,0,0,0,0,0,0
0.1,year_589,0,0,0,0,0,0,99.9,79.3,65.6,35.2,11.2
0,year_590,99.9,96.8,45.9,1.3,0,0,0,0,0,0,0
0,year_591,100,100,100,98.9,69.9,0,0,0,0,0,0
3.3,year_592,0,0,0,0,0,0,96.7,71.6,9.4,0,0
2.1,year_593,0,0,0,0,0,0,97.8,55.4,0,0,0
46.7,year_594,10.5,1.4,0,0,0,0,42.9,2.2,0,0,0
18.1,year_595,0,0,0,0,0,0,82,35,0,0,0
71.5,year_596,28.5,12.7,3.8,0,0,0,0,0,0,0,0
22.2,year_597,77.9,24.3,0,0,0,0,0,0,0,0,0
45.4,year_598,54.6,0,0,0,0,0,0,0,0,0,0
4.3,year_599,95.8,83.5,1.4,0,0,0,0,0,0,0,0
57.5,year_600,3,0,0,0,0,0,39.3,8.7,1,0,0
53,year_601,0,0,0,0,0,0,47,9.9,0,0,0
10.5,year_602,0,0,0,0,0,0,89.5,4.4,0,0,0
1.1,year_603,98.9,29.8,0,0,0,0,0,0,0,0,0
9.5,year_604,90.4,11.5,0,0,0,0,0,0,0,0,0
100,year_605,0,0,0,0,0,0,0,0,0,0,0
12,year_606,88,34.3,0,0,0,0,0,0,0,0,0
100,year_607,0,0,0,0,0,0,0,0,0,0,0
33.2,year_608,0,0,0,0,0,0,66.8,42.2,9,0,0
63.1,year_609,0,0,0,0,0,0,36.9,0,0,0,0
83.4,year_610,16.6,0,0,0,0,0,0,0,0,0,0
0,year_611,99.9,99.9,99.9,98.8,77,0,0,0,0,0,0
41.1,year_612,58.9,34.2,6.3,2.1,1,0,0,0,0,0,0
32.3,year_613,67.7,8.8,0,0,0,0,0,0,0,0,0
31.5,year_614,68.5,0,0,0,0,0,0,0,0,0,0
2,year_615,97.9,83.9,25.3,0,0,0,0,0,0,0,0
1.3,year_616,98.7,26.6,0,0,0,0,0,0,0,0,0
100,year_617,0,0,0,0,0,0,0,0,0,0,0
59.2,year_618,39.7,4.7,0,0,0,0,1.1,0,0,0,0
9.1,year_619,90.9,12,0,0,0,0,0,0,0,0,0
10.2,year_620,89.8,80.1,66.8,26.6,0,0,0,0,0,0,0
